Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Product URL
Hanasui Mattedorable Lip Cream Matcha Latte 02 Matchamallow ,hanasui,lip,02 Matchamallow,#D5393D,"(213, 57, 61)",'summer cool ',66.14843492709646,"(208.0, 49.0, '79')",'winter deep',33.85156507290355,"(198.0, 31.0, '87')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Matcha Latte 03 Matchaciano ,hanasui,lip,03 Matchaciano,#A1412B,"(161, 65, 43)",'autumn soft',56.030831378123125,"(167.0, 85.0, '47')",'spring warm',43.96916862187689,"(144.0, 76.0, '25')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Matcha Latte 04 Matchalover ,hanasui,lip,04 Matchalover,#8F3F2B,"(143, 63, 43)",'autumn warm',62.35841803982793,"(133.0, 67.0, '35')",'spring warm',37.641581960172054,"(144.0, 76.0, '25')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Matcha Latte 05 Matchablend,hanasui,lip,05 Matchablend,#A75248,"(167, 82, 72)",'autumn soft',63.94377135928111,"(167.0, 85.0, '47')",'summer cool ',36.0562286407189,"(152.0, 42.0, '85')",https://hanasui.id/makeup/lip_cream
Hanasui Mattedorable Lip Cream Matcha Latte 06 Matchachoco,hanasui,lip,06 Matchachoco,#7F392C,"(127, 57, 44)",'autumn warm',68.33908564773223,"(133.0, 67.0, '35')",'spring warm',31.660914352267767,"(144.0, 76.0, '25')",https://hanasui.id/makeup/lip_cream
Hanasui Perfect Cover Concealer 01 Fair,hanasui,face,01 Fair,#eacabb,"(234, 202, 187)",'autumn soft',69.69297629923578,"(222.0, 193.0, '182')",'spring light',30.307023700764212,"(253.0, 171.0, '187')",https://hanasui.id/makeup/concealer
Hanasui Perfect Cover Concealer 02 Ivory,hanasui,face,02 Ivory,#f3be9a,"(243, 190, 154)",'spring light',57.67215093037128,"(255.0, 176.0, '146')",'spring clear',42.32784906962873,"(253.0, 167.0, '165')",https://hanasui.id/makeup/concealer
Hanasui Perfect Cover Concealer 03 Caramel,hanasui,face,03 Caramel,#f0bea0,"(240, 190, 160)",'spring light',51.98071539364093,"(255.0, 176.0, '146')",'spring clear',48.01928460635908,"(253.0, 167.0, '165')",https://hanasui.id/makeup/concealer
Hanasui Serum Cushion Soulmatte 101 Light,hanasui,lip,101 Light,#ebcbb1,"(235, 203, 177)",'autumn soft',68.93708049627915,"(222.0, 193.0, '182')",'spring light',31.062919503720842,"(253.0, 171.0, '187')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 102 Natural,hanasui,lip,102 Natural,#ebc59f,"(235, 197, 159)",'autumn soft',54.32445163017936,"(222.0, 193.0, '182')",'spring light',45.67554836982064,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 103 Medium,hanasui,lip,103 Medium,#f1be9d,"(241, 190, 157)",'spring light',54.516555498235,"(255.0, 176.0, '146')",'spring clear',45.483444501765014,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 104 Pinkish,hanasui,lip,104 Pinkish,#f2c5b9,"(242, 197, 185)",'autumn soft',57.85651325444103,"(222.0, 193.0, '182')",'spring light',42.14348674555898,"(253.0, 171.0, '187')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 105 Fairy Pinkish,hanasui,lip,Fairy Pinkish,#f9d2c9,"(249, 210, 201)",'spring clear',58.64037102125813,"(255.0, 191.0, '218')",'autumn soft',41.35962897874187,"(222.0, 193.0, '182')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 106 Porcelain,hanasui,lip,106 Porcelain,#eabeac,"(234, 190, 172)",'autumn soft',65.82967158269622,"(222.0, 193.0, '182')",'spring clear',34.17032841730377,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 107 Light Ivory,hanasui,lip,Light Ivory,#ecd0b8,"(236, 208, 184)",'autumn soft',66.44850484189855,"(222.0, 193.0, '182')",'spring light',33.55149515810144,"(253.0, 171.0, '187')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 108 Creamy Beige,hanasui,lip,Creamy Beige,#eabeac,"(234, 190, 172)",'autumn soft',65.82967158269622,"(222.0, 193.0, '182')",'spring clear',34.17032841730377,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 109 Warm Sand,hanasui,lip,Warm Sand,#ebb695,"(235, 182, 149)",'spring light',57.355831792725056,"(255.0, 176.0, '146')",'spring clear',42.644168207274944,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Serum Cushion Soulmatte 110 Classy Ivory,hanasui,lip,Classy Ivory,#e8b49c,"(232, 180, 156)",'spring light',50.861033708354476,"(255.0, 176.0, '146')",'spring clear',49.13896629164552,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 001 Fair,hanasui,foundation & cussion,001 Fair,#f0cca0,"(240, 204, 160)",'autumn soft',53.24700033308814,"(222.0, 193.0, '182')",'spring light',46.75299966691186,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 002 Vanilla,hanasui,foundation & cussion,002 Vanilla,#f7cda3,"(247, 205, 163)",'autumn soft',50.68859873823677,"(222.0, 193.0, '182')",'spring light',49.31140126176321,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 003 Marble,hanasui,foundation & cussion,003 Marble,#eebf9c,"(238, 191, 156)",'spring light',54.515130726388165,"(255.0, 176.0, '146')",'spring clear',45.484869273611835,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 004 Chiffon,hanasui,foundation & cussion,004 Chiffon,#ebb48f,"(235, 180, 143)",'spring light',60.257328525235245,"(255.0, 176.0, '146')",'spring clear',39.742671474764755,"(253.0, 167.0, '165')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 005 Butter Cream,hanasui,foundation & cussion,Butter Cream,#dcb593,"(220, 181, 147)",'spring light',51.16297639756233,"(255.0, 176.0, '146')",'autumn soft',48.837023602437654,"(222.0, 193.0, '182')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 006 Shell,hanasui,foundation & cussion,006 Shell,#dbad8b,"(219, 173, 139)",'autumn warm',55.42175338965524,"(217.0, 159.0, '113')",'spring light',44.57824661034476,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 007 Ivory,hanasui,foundation & cussion,007 Ivory,#dcb48b,"(220, 180, 139)",'autumn warm',51.698979267427106,"(217.0, 159.0, '113')",'spring light',48.301020732572894,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 008 Beige,hanasui,foundation & cussion,008 Beige,#dcb18e,"(220, 177, 142)",'autumn warm',50.70378179221503,"(217.0, 159.0, '113')",'spring light',49.29621820778497,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 009 Neutral,hanasui,foundation & cussion,009 Neutral,#dcad85,"(220, 173, 133)",'autumn warm',60.361959259768305,"(217.0, 159.0, '113')",'spring light',39.638040740231695,"(255.0, 176.0, '146')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 010 Dessert,hanasui,foundation & cussion,010 Dessert,#dba97e,"(219, 169, 126)",'autumn warm',68.15954069614465,"(217.0, 159.0, '113')",'autumn soft',31.84045930385534,"(224.0, 134.0, '127')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 011 Sand,hanasui,foundation & cussion,011 Sand,#dba27b,"(219, 162, 123)",'autumn warm',72.98768359333701,"(217.0, 159.0, '113')",'autumn soft',27.012316406662997,"(224.0, 134.0, '127')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 012 Chestnut,hanasui,foundation & cussion,012 Chestnut,#dba075,"(219, 160, 117)",'autumn warm',86.06464129137133,"(217.0, 159.0, '113')",'autumn soft',13.935358708628687,"(224.0, 134.0, '127')",https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 013 Almond,hanasui,foundation & cussion,013 Almond,#daa97d,"(218, 169, 125)",'autumn warm',69.4402862528882,"(217.0, 159.0, '113')",'autumn soft',30.559713747111804,"(224.0, 134.0, '127')",https://hanasui.id/makeup/foundation
