Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Tone,Cluster,Image URL,Product URL
Matte Lip Cream,wardah,lip,Pinky Plumise,#c57879,"(197, 120, 121)",summer soft,88.26098788197591,"[197.0, 121.0, 125.0]",autumn soft,11.73901211802409,"[224.0, 134.0, 127.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Heartbeet,#c5516d,"(197, 81, 109)",summer soft,60.12853218466188,"[177.0, 89.0, 123.0]",autumn warm,39.87146781533814,"[218.0, 103.0, 85.0]",dark_deep,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Rosy Cheek,#c57175,"(197, 113, 117)",summer soft,73.76571265447242,"[197.0, 121.0, 125.0]",summer soft,26.23428734552758,"[177.0, 89.0, 123.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Saturdate Night,#c87981,"(200, 121, 129)",summer soft,84.5525798571768,"[197.0, 121.0, 125.0]",autumn soft,15.44742014282322,"[224.0, 134.0, 127.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Have a Blush!,#cd7c76,"(205, 124, 118)",summer soft,67.82241119090773,"[197.0, 121.0, 125.0]",autumn soft,32.17758880909227,"[224.0, 134.0, 127.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Peach of Mind,#c96866,"(201, 104, 102)",autumn warm,54.54902242952154,"[218.0, 103.0, 85.0]",summer soft,45.45097757047847,"[197.0, 121.0, 125.0]",dark_deep,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Creampuccino,#b86d5d,"(184, 109, 93)",summer light,54.63419197335487,"[164.0, 104.0, 114.0]",autumn warm,45.36580802664514,"[218.0, 103.0, 85.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Rouge Velvet,#a93b3c,"(169, 59, 60)",autumn warm,50.83711833347981,"[156.0, 35.0, 53.0]",autumn soft,49.16288166652019,"[167.0, 85.0, 47.0]",dark_deep,Cluster 8,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Rose and Shine,#ba5251,"(186, 82, 81)",autumn warm,50.37414798603989,"[218.0, 103.0, 85.0]",autumn soft,49.62585201396011,"[167.0, 85.0, 47.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Matte Lip Cream,wardah,lip,Cherry Go Round,#c04b4e,"(192, 75, 78)",summer cool ,55.98118827684255,"[208.0, 49.0, 79.0]",autumn warm,44.01881172315745,"[218.0, 103.0, 85.0]",dark_deep,Cluster 5,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1684849496.webp,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
