Product Name,Variant Name,Color HEX,Product URL
Hanasui Perfect Stay Foundation 014 Caramel,014 Caramel,#d6a379,https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 015 Truffle,015 Truffle,#d39b7a,https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 016 Latte,016 Latte,#d39771,https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 017 Brownie,017 Brownie,#ce8c69,https://hanasui.id/makeup/foundation
Hanasui Perfect Stay Foundation 018 Deep,018 Deep,#bd8160,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 01 Light ,01 Light,#dca494,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 02 Natural ,02 Natural,#e4b098,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 03 Medium,03 Medium,#e4ac99,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 04 Pinkish,04 Pinkish,#e4b4a4,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 05 Fairy Pinkish,Fairy Pinkish,#e4b49c,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 06 Porcelain,06 Porcelain,#ecb4a3,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 07 Light Ivory,Light Ivory,#e8ac9c,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 08 Creamy Beige,Creamy Beige,#e8b4a4,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 09 Warm Sand,Warm Sand,#e3af9e,https://hanasui.id/makeup/foundation
Hanasui Serum Cushion 10 Classy Ivory,Classy Ivory,#e8b098,https://hanasui.id/makeup/foundation
Hanasui Perfect Fit Powder Foundation 01 Light,01 Light,#f8c4a4,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Powder Foundation 02 Natural,02 Natural,#ecbc94,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Powder Foundation 03 Medium,03 Medium,#e4b484,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Powder Foundation 04 Porcelain,04 Porcelain,#e8b48c,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Powder Foundation 05 Classy Ivory,Classy Ivory,#eccab3,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Setting Powder 01 Light,01 Light,#b69894,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Setting Powder 02 Medium,02 Medium,#cba19a,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Setting Powder 03 Natural,03 Natural,#f4c0a6,https://hanasui.id/makeup/powder
Hanasui Perfect Fit Setting Powder Trans 12gr ,Trans 12gr,#f8c4a4,https://hanasui.id/makeup/powder
Hanasui Tintdorable Lip Stain 01 Cherry,01 Cherry,#c42c3c,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 02 Peachy,02 Peachy,#d44c34,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 03 Ruby,03 Ruby,#a42c4c,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 04 Sweet,04 Sweet,#dc6c7c,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 05 Coral ,05 Coral,#bc6454,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 06 Bloody ,06 Bloody,#7c343d,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 07 Copper,07 Copper,#dc746c,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 08 Rosy,08 Rosy,#ac5452,https://hanasui.id/makeup/lip_tint
Hanasui Tintdorable Lip Stain 09 Dreamy,09 Dreamy,#dc8475,https://hanasui.id/makeup/lip_tint
Hanasui Mattedorable Lipstick 101 Superstar,101 Superstar,#d22127,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 103 Sway,103 Sway,#a12c46,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 105 Noona,105 Noona,#d75f73,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 107 Pop,107 Pop,#bd3e4c,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 110 Cinnamon,110 Cinnamon,#863a35,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 111 Peony,111 Peony,#a8554a,https://hanasui.id/makeup/lipstick
