season,R,G,B,R_adjusted,G_adjusted,B_adjusted
autumn deep,44,19,6,39,17,5
autumn deep,227,36,0,204,32,0
autumn soft,149,121,168,134,108,151
autumn soft,224,134,127,201,120,114
autumn soft,108,190,190,97,171,171
autumn soft,49,100,146,44,90,131
autumn soft,57,107,33,51,96,29
autumn soft,231,113,59,207,101,53
autumn soft,101,106,78,90,95,70
autumn soft,222,193,182,199,173,163
autumn soft,167,85,47,150,76,42
autumn soft,236,216,97,212,194,87
autumn warm,199,28,0,179,25,0
autumn warm,99,109,0,89,98,0
autumn warm,218,103,85,196,92,76
autumn warm,217,159,113,195,143,101
autumn warm,133,67,35,119,60,31
autumn warm,0,65,52,0,58,46
autumn warm,156,35,53,140,31,47
autumn warm,241,96,32,216,86,28
autumn warm,128,180,92,115,162,82
autumn warm,232,193,24,208,173,21
winter deep,92,47,120,82,42,108
winter deep,205,52,135,184,46,121
winter deep,0,72,80,0,64,72
winter deep,152,42,85,136,37,76
winter deep,53,66,97,47,59,87
winter deep,255,242,101,229,217,90
winter deep,95,98,107,85,88,96
winter deep,28,40,130,25,36,117
winter deep,198,31,87,178,27,78
winter deep,0,0,0,0,0,0
winter clear,234,223,255,210,200,229
winter clear,0,133,196,0,119,176
winter clear,35,184,104,31,165,93
winter clear,1,24,134,0,21,120
winter clear,251,251,56,225,225,50
winter clear,255,48,151,229,43,135
winter clear,107,238,220,96,214,198
winter clear,194,31,90,174,27,81
winter clear,98,40,134,88,36,120
winter clear,33,33,33,29,29,29
winter cool,25,87,190,22,78,171
winter cool,51,148,205,45,133,184
winter cool,169,156,190,152,140,171
winter cool,0,86,95,0,77,85
winter cool,134,42,91,120,37,81
winter cool,255,233,242,229,209,217
winter cool,167,167,167,150,150,150
winter cool,37,42,95,33,37,85
winter cool,111,71,134,99,63,120
winter cool,255,255,255,229,229,229
spring light,49,201,255,53,221,255
spring light,200,241,183,220,255,201
spring light,253,171,187,255,188,205
spring light,97,203,101,106,223,111
spring light,253,107,122,255,117,134
spring light,255,176,146,255,193,160
spring light,255,241,166,255,255,182
spring light,148,214,209,162,235,229
spring light,239,239,234,255,255,255
spring clear,255,232,58,255,255,63
spring clear,193,190,184,212,209,202
spring clear,49,64,150,53,70,165
spring clear,253,167,165,255,183,181
spring clear,22,154,64,24,169,70
spring clear,255,182,67,255,200,73
spring clear,0,212,196,0,233,215
spring clear,75,210,78,82,231,85
spring clear,255,191,218,255,210,239
spring clear,255,64,74,255,70,81
spring warm,255,143,114,255,157,125
spring warm,251,95,87,255,104,95
spring warm,121,161,74,133,177,81
spring warm,82,184,172,90,202,189
spring warm,144,76,25,158,83,27
spring warm,255,182,67,255,200,73
spring warm,133,211,106,146,232,116
spring warm,225,128,74,247,140,81
spring warm,55,154,71,60,169,78
spring warm,255,114,72,255,125,79
summer light,183,244,252,201,255,255
summer light,181,162,206,199,178,226
summer light,137,227,179,150,249,196
summer light,124,169,212,136,185,233
summer light,219,206,247,240,226,255
summer light,255,220,243,255,242,255
