Product Title,Variant Name,Color HEX,Product URL
Matte Lip Cream | Wardah Indonesia,Red-dicted	,#a92431,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Refill Colorfit Perfect Glow Cushion SPF 33 PA++ | Wardah Indonesia,11C Pink Fair,#F3C4BF,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++ | Wardah Indonesia,22N Light Ivory,#F0BF9B,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++ | Wardah Indonesia,23W Warm Ivory,#ECBA93,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++ | Wardah Indonesia,32N Neutral Beige,#D5A286,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Alluring Jakarta,#f1d1ae,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Dubai Lux,#bb8976,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Royal London,#d18b8e,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Dazzling New York,#a1605a,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Kuala Lumpur Joy,#b2533e,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Last All Day Lip Paint Around the World | Wardah Indonesia,Tokyo Breeze,#7f322f,https://www.wardahbeauty.com/id/product/make-up/colorfit-last-all-day-lip-paint-around-the-world?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,11C Pink Fair,#F3C4BF,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,23W Warm Ivory,#ECBA93,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,32N Neutral Beige,#D5A286,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,33W Olive Beige,#DFA880,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
